id_projeto,nome,descricao,tipo_projeto,uf,situacao,data_de_inicio_prevista,data_de_fim_prevista,fontes_de_recurso,objetivo_do_projeto,funcao_social
3819.53-95,Cobertura da quadra poliesportiva,Cobertura da quadra poliesportiva utilizada pelos beneficiários do PROFESP,Educação,DF,Em execução,2021-09-15,2021-11-01,"{'origem': 'Federal', 'valorInvestimentoPrevisto': 250000.0}",Cobertura da quadra poliesportiva utilizada pelos beneficiários do PROFESP,Melhoria das condições de uso
8421.53-89,Reforma no acesso da pista de atletismo,Reforma do acesso à pista de atletismo com reforço na fundação,Esporte,DF,Em execução,2022-09-30,2022-10-14,"{'origem': 'Federal', 'valorInvestimentoPrevisto': 17400.0}",Melhoria da área de esportes do Grupamento de Fuzileiros Navais de Brasília para uso do PROFESP,Atividades dos militares e beneficiários do PROFESP
12603.53-08,Reforma da arquibancada e pintura da pista de atletismo,Reforma da arquibancada e pintura da pista de atletismo,Educação,DF,Em execução,2022-11-17,2022-12-09,"{'origem': 'Federal', 'valorInvestimentoPrevisto': 75657.05}",Reforma da arquibancada e pintura da pista de atletismo,PROFESP
21333.53-86,"Conclusão dos mezaninos dos campi CSAM, CSSB e CTAG do IFB","Conclusão dos mezaninos do Campus Samambaia com 427,91m², do campus São Sebastião com 539,00 m² e do Campus Taguatinga com 444,66m². Trata-se dos serviços de execução de escada, finalização dos banheiros, piso, paredes e esquadrias, além de forro, guarda-corpo e acessórios. ",Educação,DF,Cadastrada,2023-08-01,2024-03-31,"{'origem': 'Federal', 'valorInvestimentoPrevisto': 2500000.0}","aumentar a oferta de cursos técnicos/tecnológicos e de curta duração, e para isso, necessita aumentar sua área para laboratórios e salas de aulas integradas a esses laboratórios.",atender a comunidade acadêmica dos Campi contemplados principalmente nas áreas de laboratórios de práticas de ensino
21335.53-99,Reforma do Centro de Múltiplas Funções do Campus São Sebastião,"Reforma do prédio de múltiplas funções do campus São Sebastião que compreende uma área de 523 m². A reforma compreenderá o telhado, a troca de uma viga que foi quebrada com a queda de uma área e ajustes no piso, instalações elétricas e hidráulicas. ",Educação,DF,Cadastrada,2023-12-01,2024-07-31,"{'origem': 'Federal', 'valorInvestimentoPrevisto': 1000000.0}","aumentar a oferta de cursos técnicos/tecnológicos e de curta duração, e para isso, necessita aumentar sua área para laboratórios e salas de aulas integradas a esses laboratórios.",melhorar a qualidade do ensino na unidade através de laboratórios e salas ludos
21339.53-04,Substituição do sistema de impermeabilização nas edificações do Campus Brasília,"substituição de todo o sistema de impermeabilização dos blocos do campus Brasília que foram concebidos para terem telhado verde. A impermeabilização garante uma edificação segura, estanque e sem patologias decorrentes de entrada de águas em todos os tipos de estruturas.",Educação,DF,Cadastrada,2023-07-01,2023-12-31,"{'origem': 'Federal', 'valorInvestimentoPrevisto': 1000000.0}","aumentar a oferta de cursos técnicos/tecnológicos e de curta duração, e para isso, necessita aumentar sua área para laboratórios e salas de aulas integradas a esses laboratórios.","atender a comunidade acadêmica do Campus Brasília principalmente em conforto e qualidade de ensino, pesquisa e extensão"
21341.53-30,Substituição do sistema de impermeabilização nas edificações do Campus Gama,"substituição de todo o sistema de impermeabilização dos blocos do campus Gama que foram concebidos para terem telhado verde. A impermeabilização garante uma edificação segura, estanque e sem patologias decorrentes de entrada de águas em todos os tipos de estruturas.",Educação,DF,Cadastrada,2023-07-01,2023-12-31,"{'origem': 'Federal', 'valorInvestimentoPrevisto': 1000000.0}","aumentar a oferta de cursos técnicos/tecnológicos e de curta duração, e para isso, necessita aumentar sua área para laboratórios e salas de aulas integradas a esses laboratórios.
","atender a comunidade acadêmica do Campus Gama principalmente em conforto e qualidade de ensino, pesquisa e extensão"
21342.53-97,Substituição do sistema de impermeabilização nas edificações do Campus Samambaia,"substituição de todo o sistema de impermeabilização dos blocos do campus Samambaia que foram concebidos para terem telhado verde. A impermeabilização garante uma edificação segura, estanque e sem patologias decorrentes de entrada de águas em todos os tipos de estruturas.",Educação,DF,Cadastrada,2023-07-01,2023-12-31,"{'origem': 'Federal', 'valorInvestimentoPrevisto': 1000000.0}","aumentar a oferta de cursos técnicos/tecnológicos e de curta duração, e para isso, necessita aumentar sua área para laboratórios e salas de aulas integradas a esses laboratórios.
","atender a comunidade acadêmica do Campus Samambaia principalmente em conforto e qualidade de ensino, pesquisa e extensão"
21345.53-56,Substituição do sistema de impermeabilização nas edificações do Campus Taguatinga,"substituição de todo o sistema de impermeabilização dos blocos do campus Taguatinga que foram concebidos para terem telhado verde. A impermeabilização garante uma edificação segura, estanque e sem patologias decorrentes de entrada de águas em todos os tipos de estruturas.",Educação,DF,Cadastrada,2023-07-01,2023-12-31,"{'origem': 'Federal', 'valorInvestimentoPrevisto': 1000000.0}","aumentar a oferta de cursos técnicos/tecnológicos e de curta duração, e para isso, necessita aumentar sua área para laboratórios e salas de aulas integradas a esses laboratórios.

","atender a comunidade acadêmica do Campus Taguatinga principalmente em conforto e qualidade de ensino, pesquisa e extensão"
8913.53-40,Reforma hidráulica da psicina,Reforma hidráulica da piscina para utilização pelos beneficiários do PROFESP,Esporte,DF,Em execução,2022-10-10,2022-11-04,"{'origem': 'Federal', 'valorInvestimentoPrevisto': 17500.0}",Reforma hidráulica da psicina,Reforma hidráulica da piscina para utilização pelos beneficiários do PROFESP
2729.53-94,Ampliação e Reforma do Hospital Naval de Brasília,"CONTRATAÇÃO INTEGRADA de empresa especializada em construção civil para realizar a prestação de serviços de REFORMA E AMPLIAÇÃO DO HOSPITAL NAVAL DE BRASÍLIA – HNBra, incluindo a elaboração de projetos básicos e executivos de arquitetura e engenharia, planos e programas ambientais visando a minimização dos impactos ambientais do novo hospital. O detalhamento encontra-se no RDC 01/2019 deste Hospital.",Saúde,DF,Concluída,2020-01-20,2023-03-31,"{'origem': 'Federal', 'valorInvestimentoPrevisto': 27792850.24}","Expansão física das instalações e, com isso, passaremos a disponibilizar uma gama muito maior de consultas e procedimentos, inclusive aqueles com valor agregado muito alto, como no caso de internações (nos seus diversos níveis de complexidade).",Atendimento à Família Naval.
19176.53-10,Caminho das Escolas - Ponte Alta (Gama),"Pavimentação de rodovias distritais, estradas vicinais e/ou vias locais com consequente melhoria de vida para a população local.",Infraestrutura Urbana e Mobilidade,DF,Cadastrada,2022-12-30,2026-12-30,"{'origem': 'Federal', 'valorInvestimentoPrevisto': 2870210.0}","Pavimentação de rodovias distritais, estradas vicinais e/ou vias locais com consequente melhoria de vida para a população local.","Estudantes, professores, servidores das escolas rurais, bem como produtores localizados próximos às rodovias (distritais, estradas vicinais e vias locais) beneficiadas na região do Gama.. Eliminar poeira oriunda do período de seca e muito prejudicial à saúde das pessoas e eliminar risco de acidentes em épocas de chuva por causa de atoleiros, água empossada com a pavimentação de acessos às escolas rurais (rodovias distritais, estradas vicinais e vias locais). Melhoria no desenvolvimento social, facilitando o acesso à educação e econômico desses locais, tem em vista a garantia de escoamento dos produtos agrícolas em todas as épocas do ano."
4539.53-84,202111-22-Ronald 1,2021122-Ronald - Descrição do Projeto,Desenvolvimento,DF,Cadastrada,2021-12-10,2021-12-10,"{'origem': 'Federal', 'valorInvestimentoPrevisto': 100000000.0}",20211122-Ronald - Descrição Meta Global,2021122-Ronald - Descrição Funç]ap Social
20285.53-58,Substituição parcial dos brises do Colégio Militar de Brasília em Brasília-DF,Substituição parcial dos brises do Colégio Militar de Brasília em Brasília-DF,Administrativo,DF,Inativada,2023-03-02,2024-03-01,"{'origem': 'Federal', 'valorInvestimentoPrevisto': 769000.0}",Substituição parcial dos brises do Colégio Militar de Brasília em Brasília-DF,Substituição parcial dos brises do Colégio Militar de Brasília em Brasília-DF
44078.53-10,CPAC - Elaboração de projetos  para as instalações de recepção e preparação de amostras,Elaboração de projetos básicos e executivos de engenharia e arquitetura para a reforma e construção das instalações de recepção e preparação de amostras na Embrapa Cerrados,Administrativo,DF,Concluída,2024-11-01,2025-05-26,"{'origem': 'Federal', 'valorInvestimentoPrevisto': 49973.53}",Elaboração de projetos básicos e executivos de engenharia e arquitetura para a reforma e construção das instalações de recepção e preparação de amostras na Embrapa Cerrados,"Viabilizar soluções de pesquisa, desenvolvimento e inovação para a sustentabilidade da agricultura, em benefício da sociedade brasileira."
5584.53-19,"Adequação da DCEM, 3º piso, Bloco D, QGEx do Setor Militar Urbano, na cidade de Brasília/DF","Adequação da DCEM, 3º piso, Bloco D, QGEx do Setor Militar Urbano, na cidade de Brasília/DF",Administrativo,DF,Concluída,2022-02-14,2023-11-06,"{'origem': 'Federal', 'valorInvestimentoPrevisto': 8691308.0}","Adequação da DCEM, 3º piso, Bloco D, QGEx do Setor Militar Urbano, na cidade de Brasília/DF","A necessidade de adequação do pavimento ocupado pela DCEM justifica-se pelas
instalações físicas serem antigas, desatualizadas, resultado de reformas pontuais,
executadas na Diretoria ao longo dos anos, e que por falta de uniformidade podem vir
a comprometer a segurança, a economia, e a integral utilização da edificação.
Nesse contexto, esse estudo visa atender à necessidade de atualização das
instalações sanitárias elétricas, de incêndio, de condicionamento de ar, dentre outras
disciplinas, bem como de adequar o espaço da Diretoria ao pleno funcionamento das
seções que a compõe e seu crescente número de servidores, dentre civis e militares
do DCEM, 3º Piso, Bloco D, QGex do Setor Militar Urbano, na cidade de Brasília/DF."
51946.53-11,CONSTRUÇÃO DO 2º BATALHÃO DE POLÍCIA MILITAR DO DISTRITO FEDERAL,CONSTRUÇÃO DO 2º BATALHÃO DE POLÍCIA MILITAR DO DISTRITO FEDERAL.,Segurança Pública,DF,Cadastrada,2025-03-12,2025-12-31,"{'origem': 'Federal', 'valorInvestimentoPrevisto': 51767.99}",CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA CONSTRUÇÃO DA SEDE DO 2º BATALHAO DE POLÍCIA MILITAR DO DISTRITO FEDERAL.,SEGURANÇA PÚBLICA
10835.53-80,CONSTRUÇÃO DA POLICLINICA DA PCDF,Construção da nova Policlínica da Polícia Civil do Distrito Federal.,Segurança Pública,DF,Cadastrada,2022-12-19,2027-12-16,"{'origem': 'Federal', 'valorInvestimentoPrevisto': 39717442.17}",Construção da nova Policlínica da Polícia Civil do Distrito Federal.,"Atualmente a Policlínica atende diretamente 3957 servidores da carreira policial e 191 servidores da carreira de apoio,
totalizando 4148 servidores, além de atendimento subsidiário a aproximadamente 420 servidores terceirizados. Não há previsão de atendimento à população em geral. O impacto indireto nos habitantes do Distrito Federal se dará
pela redução da taxa de absenteísmo dos policiais civis e, consequentemente,de uma melhor prestação de serviço(texto completo na Justificativa Completa).. A Policlínica da Polícia Civil do Distrito Federal foi originalmente concebida com ênfase na atividade pericial.
No entanto, atua intensamente na assistência ao policial civil não só no atendimento médico e pericial, como também nos serviços de psicologia, odontologia, assistência social, fisioterapia e reabilitação física. Funciona atualmente em uma antiga delegacia, que fora reformada para abrigar suas instalações(texto completo na Justificativa Completa).. A nova sede da Policlínica da Polícia Civil do Distrito Federal é um anseio dos servidores policiais que
aguardam há muito tempo um espaço adequado para receber uma atenção à saúde de forma rápida, confortável e eficaz.
Espera-se com a nova sede, que todos os processos e atendimentos desenvolvidos atualmente sejam otimizados e que novos atendimentos sejam realizados. Espera-se que a localização da nova sede seja mais acessível aos policiais(texto completo na Justificativa Completa)."
228.53-10,Reforma UOP Planaltina,"Contratação de empresa especializada para prestação de serviço de engenharia, para reforma do imóvel onde funciona a 2ª Delegacia da PRF/DF - Planaltina, localizada na BR-020, Km 37.",Segurança Pública,DF,Inativada,2021-03-15,2021-04-15,"{'origem': 'Federal', 'valorInvestimentoPrevisto': 93543.62}","Promoção da segurança viária da região, bem como a fiscalização das vias e prevenção de acidentes.","Melhorar o ambiente de trabalho dos servidores e proporcionar mais conforto ao usuário, promovendo a segurança viária da região, bem como a fiscalização das vias e prevenção de acidentes."
440.53-82,CONSTRUÇÃO DE NOVA SEDE DO INSTITUTO MÉDICO LEGAL,CONSTRUÇÃO DE SEDE DO IML/PCDF,Segurança Pública,DF,Cadastrada,2021-03-31,2022-06-30,"{'origem': 'Federal', 'valorInvestimentoPrevisto': 1.0}",CONSTRUÇÃO DO NOVO IML/PCDF,AUXÍLIAR NO TRABALHO TÉCNICO/INVESTIGATIVO DA PCDF.
21751.53-90,obra de reforma do Teatro Helena Barcelos,"Reforma do Teatro Helena Barcelos, localizado no prédio Oficinas Especiais, no Setor Centro do Campus Universitário Darcy Ribeiro, da Universidade de Brasília, em Brasília/D",Educação,DF,Cadastrada,2023-05-22,2023-11-22,"{'origem': 'Federal', 'valorInvestimentoPrevisto': 3891249.91}","A necessidade em tela decorre de demanda formulada pelo Instituto de Artes com histórico descrito no documento SEI N. 5787223, constante nos autos do processo N. 23106.097036/2020-77.

O Teatro é espaço didático necessário ao ensino de Artes Cênicas em sua plenitude e é também espaço cultural que permite atender a comunidade. A reivindicação pela adequação do espaço é antiga, pois o espaço carece de infraestrutura necessária para seu efetivo funcionamento e está desativado há anos.

O espaço, localizado dentro do prédio Oficinas Especiais, apresenta muitos problemas de infiltração, mofo, banheiros deteriorados, os mecanismos de movimentação do palco e das varas cênicas não funcionam, a iluminação é insuficiente, não há tratamento acústico, as instalações existentes são insuficientes para a necessidade, entre outros.

Sendo assim, o teatro requer o redimensionamento das instalações elétricas, eletrônicas, hidrossanitárias, PCI, reforço estrutural, climatização, tratamento acústico, adequações na arquitetura para que o espaço seja seguro, acessível e compatível com a concentração de público. Faz-se necessário a criação de infraestrutura cênica para retomar o uso do espaço.

Em 2019 foi feita contratação de obra para as adequações de segurança contra incêndio e pânico, mas a obra não foi concluída.

Sendo assim, para suprir por completo as necessidades espaciais e de segurança, o escopo da contratação tratada neste documento abarcará na reforma do Teatro as adequações para regularização do prédio Oficinas Especiais junto ao Corpo de Bombeiros Militar- CBMDF.","A necessidade em tela decorre de demanda formulada pelo Instituto de Artes com histórico descrito no documento SEI N. 5787223, constante nos autos do processo N. 23106.097036/2020-77.

O Teatro é espaço didático necessário ao ensino de Artes Cênicas em sua plenitude e é também espaço cultural que permite atender a comunidade. A reivindicação pela adequação do espaço é antiga, pois o espaço carece de infraestrutura necessária para seu efetivo funcionamento e está desativado há anos.

O espaço, localizado dentro do prédio Oficinas Especiais, apresenta muitos problemas de infiltração, mofo, banheiros deteriorados, os mecanismos de movimentação do palco e das varas cênicas não funcionam, a iluminação é insuficiente, não há tratamento acústico, as instalações existentes são insuficientes para a necessidade, entre outros.

Sendo assim, o teatro requer o redimensionamento das instalações elétricas, eletrônicas, hidrossanitárias, PCI, reforço estrutural, climatização, tratamento acústico, adequações na arquitetura para que o espaço seja seguro, acessível e compatível com a concentração de público. Faz-se necessário a criação de infraestrutura cênica para retomar o uso do espaço.

Em 2019 foi feita contratação de obra para as adequações de segurança contra incêndio e pânico, mas a obra não foi concluída.

Sendo assim, para suprir por completo as necessidades espaciais e de segurança, o escopo da contratação tratada neste documento abarcará na reforma do Teatro as adequações para regularização do prédio Oficinas Especiais junto ao Corpo de Bombeiros Militar- CBMDF."
19979.53-65,"Escadas Externas de Emergência do Bloco ""U"" da Esplanada dos Ministérios, Brasília/DF","Obra de construção das Duas Escadas Externas de Emergência do Bloco “U” da Esplanada dos Ministérios, em Brasília – DF,",Administrativo,DF,Cadastrada,2023-04-03,2023-11-03,"{'origem': 'Federal', 'valorInvestimentoPrevisto': 7500000.0}","Construção das Duas Escadas Externas de Emergência, do Bloco “U” da Esplanada dos Ministérios, em Brasília/DF, que objetiva atender a necessidade de dotar a edificação de mais segurança contra incêndios e atender notificações do Corpo de Bombeiro Militar do Distrito Federal e da Secretária de Estado de Defesa Civil do Distrito Federal,","A construção das Duas Escadas Externas de Emergência, do Bloco “U” da Esplanada dos Ministérios, em Brasília/DF,  objetiva atender a necessidade de dotar a edificação de mais segurança contra incêndios e atender notificações do Corpo de Bombeiro Militar do Distrito Federal e da Secretária de Estado de Defesa Civil do Distrito Federal, quando da realização de vistorias de rotinas no prédio, uma vez que as escadas internas de segurança enclausuradas existentes no edifício  não atendem mais as exigências da legislação;

Desta forma,  a edificação será dotada de duas rotas de fuga, seguras, externamente para evacuação dos habitantes, quando da ocorrência de um incêndio ou princípio de incêndio (com presença de fumaça), conforme existentes nos demais edifícios sediados na Esplanada  dos Ministérios.

Assim, deverão ser edificadas, de conformidade com a Norma Técnica n° 010/2015 - CBMDF - Saídas de Emergência, que tem por objetivo estabelecer os requisitos necessários ao dimensionamento das saídas de emergência, a fim de garantir o abandono seguro da edificação pela população, em situação de incêndio ou pânico, e da mesma forma permitir o acesso aos bombeiros para as ações de combate a incêndio e salvamento, atendendo ao previsto no Regulamento de Segurança Contra Incêndio e Pânico do Distrito Federal (RSIP-DF), aprovado pelo Decreto nº 21.361, de 20 de julho de 2000."
20766.53-40,Instalação de Backbones optícos.,"Contratação dos serviços de instalação de backbones ópticos na Agência Nacional das Águas e Saneamento Básico. Temos diversos links de fibra óptica que interligam os edifícios do complexo. Dentre estas cone-xões tem-se uma conexão entre o datacenter e os blocos N e O, além da guarita 02, estes links não estão em perfeito funcionamento, operando em condições precárias e afetando o desem-penho da rede, após análise da equipe técnica verificou-se a necessidade de substituição destes links, principalmente pelo fato da implantação do sistema de telefonia VOIP.",Administrativo,DF,Cadastrada,2023-04-17,2023-05-17,"{'origem': 'Federal', 'valorInvestimentoPrevisto': 29653.0}","Interligação do datacenter, adequação de infraestrutura, instalação de backbones, desobstrução das caixas de passagem, Fornecimento e troca dos pigtails e acopladores nos DIOS existentes, realização das fusões ópticas em todos os enlaces e certificação dos enlaces ópticos.",Fornecer condições de infraestrutuara para o regular funcionamento da ANA.
42911.53-47,Empório Brazlândia,Apoio à execução de obras e serviços de engenharia para o fomento aos setores agropecuários e de agroindústria.,Infraestrutura Urbana e Mobilidade,DF,Cadastrada,2024-10-16,2026-10-16,"{'origem': 'Federal', 'valorInvestimentoPrevisto': 1500000.0}",Apoio à execução de obras e serviços de engenharia para o fomento aos setores agropecuários e de agroindústria.,"De maneira direta, serão beneficiados os produtores da agricultura familiar de Alexandre Gusmão com 315 produtores e área plantada de 275,06 hectares e  308 produtores nos demais Núcleos Rurais de Brazlândia com área plantada total de 480,05 hectares.. Construir um galpão para fornecer local de trabalho adequado para as atividades comerciais dos produtores da agricultura familiar da região, assim como fornecer boxes para os comerciantes que foram notificados pelo DNIT da remoção de seus pontos de comercialização da área adjacente da BR-080.. Esse espaço irá otimizar a logística operacional, melhorando a qualidade dos produtos a serem comercializados, e por consequência contribuindo para o desenvolvimento da região e aumento da qualidade de vida dos produtores daquela localidade"
